kcet,college
87.3507,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune"
95.6460969,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai"
85.8349688,"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune"
79.3975363,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
81.6371,"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune"
51.8459912,"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune"
70.4630548,"D. Y. Patil Institute of Engineering and Technology, Ambi"
76.0756212,"NBN Sinhgad Technical Institutes Campus, Pune"
75.787,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik"
82.3019,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik"
81.867,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune"
85.301956,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli"
88.4344923,"Smt. Indira Gandhi College of Engineering, Navi Mumbai"
86.7069082,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai"
85.912,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur"
82.1625399,"Bharati Vidyapeeth's College of Engineering, Kolhapur"
60.8449266,"M.S. Bidve Engineering College, Latur"
94.7622082,"Atharva College of Engineering,Malad(West),Mumbai"
62.7314731,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur"
89.20721,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar."
67.9196,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune"
42.5696863,"Gramin College of Engineering, Vishnupuri, Nanded"
94.5768125,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai"
67.2819971,"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy, Ambi"
87.2417314,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai"
77.109,"Pune Vidyarthi Griha's College Of Engineering, Nashik"
79.468146,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur"
7.5367,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur"
84.5382849,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"
75.4484,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik"
82.9312,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik."
82.9276,"Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri, Nagpur"
95.3951609,"Vidyavardhini's College of Engineering and Technology, Vasai"
79.7205304,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
84.4589848,"Deogiri Institute of Engineering and Management Studies, Aurangabad"
63.4,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur"
82.90846,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"
92.1862213,"A. P. Shah Institute of Technology, Thane"
64.7943,"K. C. E. Societys College of Engineering and Information Technology, Jalgaon"
66.0870636,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
30.7568636,"P.K. Technical Campus, Pune."
90.9261097,"Padmabhushan Vasantdada Patil Pratishthans College of Engineering, Sion,Mumbai"
79.1799135,"CSMSS Chh. Shahu College of Engineering, Aurangabad"
2.5839531,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg."
84.4521049,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara"
92.8734891,"Terna Engineering College, Nerul, Navi Mumbai"
84.5965,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik"
92.9491683,"Mahatma Education Society's Pillai College of Engineering, New Panvel"
34.1917542,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar"
1.042851,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi"
37.1059435,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"
65.8332,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune"
75.8945707,"D.Y. Patil College of Engineering and Technology, Kolhapur"
65.9762607,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
24.1984893,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune."
29.6459376,"G.M.Vedak Institute of Technology, Tala, Raigad."
73.7570881,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal"
71.271,"V M Institute of Engineering and Technology, Dongargaon, Nagpur"
38.7462613,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile"
81.8134745,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj"
55.056017,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon"
81.5056886,"Universal College of Engineering & Research, Sasewadi"
82.255962,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati"
68.6442212,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon"
57.4973023,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad"
19.295641,Navsahyadri Education Society's Group of Institutions
60.6110093,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur."
70.9928,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik."
40.9195,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon"
44.7871,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli"
31.21492,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik."
17.0321473,"I.S.B.& M. School of Technology, Nande Village"
22.0146579,"Alard Charitable Trust's Alard College of Engineering and Management, Pune"
88.7466234,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai"
53.12963,"G. H. Raisoni College of Engineering and Management, Ahmednagar"
73.8179211,"Prof Ram Meghe College of Engineering and Management, Badnera"
63.3774614,"Shri Shivaji Education Society's College of Engineering and Technology, Akola"
52.0980135,"Peoples Education Society's College of Engineering, Aurangabad"
65.5822947,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune"
76.8823823,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur"
1.36584,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur"
2.981178,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala"
23.6517,"G. H. Raisoni Institute of Business Management,Jalgaon"
62.9882,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,"
36.7525329,"Fabtech Technical Campus College of Engineering and Research, Sangola"
